epoch,split,metric,value
1,train,loss,0.5733054280281067
1,val,loss,2.0191849493026734
2,train,loss,0.8956937789916992
2,val,loss,1.0439312455558778
3,train,loss,0.7957750558853149
3,val,loss,0.8280993727302551
4,train,loss,0.5424591302871704
4,val,loss,0.7591231677818299
5,train,loss,0.5418607592582703
5,val,loss,0.7134852842330932
6,train,loss,0.7393330335617065
6,val,loss,0.6904498296928405
7,train,loss,0.8402915000915527
7,val,loss,0.6696471243095398
8,train,loss,0.6034194231033325
8,val,loss,0.6518024665641785
9,train,loss,0.5102871060371399
9,val,loss,0.6389313250541687
10,train,loss,0.8561949729919434
10,val,loss,0.6484314347648621
11,train,loss,0.753936767578125
11,val,loss,0.6424107393836975
12,train,loss,0.6041966676712036
12,val,loss,0.642779200630188
13,train,loss,0.6785478591918945
13,val,loss,0.6402821517181396
14,train,loss,0.5371381640434265
14,val,loss,0.6397256427001953
15,train,loss,0.6538123488426208
15,val,loss,0.630526262588501
16,train,loss,0.7061047554016113
16,val,loss,0.6286971475028992
17,train,loss,0.548664391040802
17,val,loss,0.6311581239128112
18,train,loss,0.4883556663990021
18,val,loss,0.6323222152709961
19,train,loss,0.4781239330768585
19,val,loss,0.6283996245384217
20,train,loss,0.7296357154846191
20,val,loss,0.6344033387947082
21,train,loss,0.6699696779251099
21,val,loss,0.6391827297401428
22,train,loss,0.6090352535247803
22,val,loss,0.6457121947669983
23,train,loss,0.7464004755020142
23,val,loss,0.6338999073028564
24,train,loss,0.8142346739768982
24,val,loss,0.6322760499668121
25,train,loss,0.5184757113456726
25,val,loss,0.6381654136562347
